Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
41604-1,BrickHeadz,Marvel Super Heroes,2018,Iron Man MK50,,101,9.99,9.99,12.99,,,,1,9.33,
41605-1,BrickHeadz,Marvel Super Heroes,2018,Thanos,,105,9.99,9.99,12.99,,,,1,9.45,
41606-1,BrickHeadz,Marvel Super Heroes,2018,Star-Lord,,113,9.99,9.99,12.99,,,,1,11.11,3.99
41607-1,BrickHeadz,Marvel Super Heroes,2018,Gamora,,136,9.99,9.99,12.99,,,,1,12.65,
41608-1,BrickHeadz,Star Wars,2018,Han Solo,,141,9.99,9.99,12.99,,,,1,9.35,
41609-1,BrickHeadz,Star Wars,2018,Chewbacca,,149,9.99,9.99,12.99,,,,1,9.6,
41610-1,BrickHeadz,DC Comics Super Heroes,2018,Tactical Batman & Superman,,209,17.99,19.99,24.99,,,,1,21.84,
41611-1,BrickHeadz,Miscellaneous,2018,Marty McFly & Doc Brown,,240,17.99,19.99,24.99,,,,1,28.41,
41613-1,BrickHeadz,Disney,2018,Mr. Incredible & Frozone,,160,17.99,19.99,24.99,,,,1,29.62,
41614-1,BrickHeadz,Miscellaneous,2018,Owen & Blue,,234,17.99,19.99,24.99,,,,1,23.79,
41615-1,BrickHeadz,Wizarding World,2018,Harry Potter & Hedwig,,180,14.99,14.99,17.99,,,,1,15.64,
41616-1,BrickHeadz,Wizarding World,2018,Hermione Granger,,127,9.99,9.99,12.99,,,,2,11.6,
41617-1,BrickHeadz,Disney,2018,Elsa,,130,9.99,9.99,12.99,,,,1,12.39,
41618-1,BrickHeadz,Disney,2018,Anna & Olaf,,201,14.99,14.99,17.99,,,,1,14.45,
41619-1,BrickHeadz,Star Wars,2018,Darth Vader,,104,9.99,9.99,12.99,,,,1,9.22,
41620-1,BrickHeadz,Star Wars,2018,Stormtrooper,,124,9.99,9.99,12.99,,,,1,9.5,
41621-1,BrickHeadz,Wizarding World,2018,Ron Weasley & Albus Dumbledore,,245,17.99,19.99,24.99,,,,1,20.79,
41622-1,BrickHeadz,Miscellaneous,2018,Peter Venkman & Slimer,,228,17.99,19.99,,,,,1,23.77,
66479-1,Star Wars,Product Collection,2014,Value Pack,,1087,,,,,,,1,155.05,
66495-1,Star Wars,Product Collection,2014,Star Wars Value Pack,,840,,,,,,,1,159.81,
66512-1,Star Wars,Product Collection,2014,Rebels Co-Pack,,1163,,109.99,,,,,1,330,218.3
66514-1,Star Wars,Product Collection,2014,Microfighter Super Pack 3 in 1,,285,,,,,,,1,150,
66515-1,Star Wars,Product Collection,2014,Microfighter Super Pack 3 in 1,,286,,,,,,,1,80,
66533-1,Star Wars,Product Collection,2015,Microfighter 3 in 1 Super Pack,,276,,,,,,,1,39,
66534-1,Star Wars,Product Collection,2015,Microfighter 3 in 1 Super Pack,,288,,,,,,,1,45.5,
66535-1,Star Wars,Product Collection,2015,Battle Pack 2 in 1,,83,,,,,,,1,50,
66536-1,Star Wars,Product Collection,2015,Luke Skywalker and Darth Vader,,243,,,,,,,1,59.99,
66542-1,Star Wars,Product Collection,2016,Microfighters Super Pack 3 in 1,,267,,,,,,,1,30.99,
66543-1,Star Wars,Product Collection,2016,Microfighters Super Pack 3 in 1,,268,,,,,,,1,20,
66555-1,Star Wars,Product Collection,2017,Super Pack 2 in 1,,232,,,,,,,1,29.99,
66556-1,Star Wars,Product Collection,2017,Super Pack 2 in 1,,239,,,,,,,1,26.99,
75000-1,Star Wars,Episode II,2013,Clone Troopers vs. Droidekas,4,124,11.99,12.99,15.99,5.70201E+12,6.73419E+11,,1,21.25,13.58
75001-1,Star Wars,The Old Republic,2013,Republic Troopers vs. Sith Troopers,4,63,11.99,12.99,15.99,5.70201E+12,6.73419E+11,,1,19.16,12.9
75002-1,Star Wars,The Clone Wars,2013,AT-RT,4,222,19.99,19.99,24.99,5.70201E+12,6.73419E+11,,1,37.66,25.27
75004-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,3,373,39.99,49.99,59.99,5.70201E+12,6.73419E+11,,1,62.8,46.88
75006-1,Star Wars,Planet Set,2013,Jedi Starfighter & Planet Kamino,1,61,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,15.48,10.51
75007-1,Star Wars,Planet Set,2013,Republic Assault Ship & Planet Coruscant,1,74,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,17.47,11.15
75008-1,Star Wars,Planet Set,2013,TIE Bomber & Asteroid Field,1,60,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,16.09,7.94
